,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num,Devolucoes
0,Elizeu,Barros,16/12/1993,Salvador,Casaco,2018-01-02,105,150,15750,Fevereiro,1,5
93,Juliane,Felipi,09/04/1992,Salvador,Sapato,2018-01-27,43,75,3225,Janeiro,1,3
92,Izabel,Milagre,24/07/1988,Rio de Janeiro,Pulseira,2018-01-27,139,25,3475,Janeiro,1,6
60,Maryanna,Correa,08/10/1989,Curitiba,Casaco,2018-01-17,86,55,4730,Janeiro,1,6
90,Maryanna,Correa,01/05/1993,Brasilia,Vestido,2018-01-26,7,150,1050,Janeiro,1,7
89,Izabel,Milagre,15/09/1990,Curitiba,Short,2018-01-26,58,230,13340,Janeiro,1,4
88,Emanuella,Fialho,15/09/1988,Porto Alegre,Sapato,2018-01-25,62,85,5270,Janeiro,1,8
86,Emanuella,Fialho,23/04/1993,Sao Paulo,Casaco,2018-01-25,119,300,35700,Janeiro,1,5
87,Paloma,Farias,04/12/1993,Curitiba,Camiseta,2018-01-25,73,230,16790,Janeiro,1,7
83,Jucelia,Bailly,21/10/1988,Brasilia,Sandalia,2018-01-24,36,200,7200,Janeiro,1,6
82,Elizeu,Barros,22/01/1985,Curitiba,Vestido,2018-01-24,81,110,8910,Janeiro,1,5
81,Elizeu,Barros,05/12/1989,Salvador,Sapato,2018-01-24,71,190,13490,Janeiro,1,7
85,Izabel,Milagre,06/05/1986,Porto Alegre,Sapato,2018-01-24,74,25,1850,Janeiro,1,5
84,Maryanna,Correa,20/05/1985,Porto Alegre,Sandalia,2018-01-24,53,85,4505,Janeiro,1,1
80,Iago,Bensdorp,06/04/1987,Brasilia,Camiseta,2018-01-23,2,300,600,Janeiro,1,5
75,NatÃ¡lia,Huon,13/04/1990,Porto Alegre,Saia,2018-01-23,144,300,43200,Janeiro,1,2
91,Emanuella,Fialho,07/03/1993,Sao Paulo,Vestido,2018-01-27,112,75,8400,Janeiro,1,5
97,Emanuella,Fialho,13/02/1986,Salvador,Saia,2018-01-28,11,25,275,Janeiro,1,3
96,Eduarda,Figueiredo,08/03/1991,Sao Paulo,Vestido,2018-01-28,44,30,1320,Janeiro,1,3
95,Iago,Bensdorp,19/08/1985,Salvador,Vestido,2018-01-28,25,300,7500,Janeiro,1,4
110,Tayna,Coimbra,21/11/1991,Sao Paulo,Vestido,2018-01-31,99,300,29700,Janeiro,1,1
111,Andrew,Carvalhal,30/01/1990,Porto Alegre,Vestido,2018-01-31,35,250,8750,Janeiro,1,6
